LANG,TASK_ID,SAMPLE_ID,EXECUTION_BASE_BINARY,EXECUTION_BASE_RATIO,BLEU,ROUGE-L,METEOR,chrF,CodeBLEU,RUBY,CBS_F1,CBS_F3,ICE-Score,ICE-Score w/o r,CJ-BIN,CJ-BIN w/o r,CJ-Score,CJ-Score w/o r,V-BIN,V-BIN w/o r,V-Score,V-Score w/o r
cpp,112,0,0.0,0.3333333333333333,0.37578353301926093,0.5737704918032787,0.5293715620100449,0.40109177173072624,0.6442732903947448,0.40800000000000003,0.830047070980072,0.8447802066802979,3.0,3.0,0.0,0.0,0.5,0.95,0.0,0.0,3.0,1.0
cpp,3,0,1.0,1.0,0.7594956623594256,0.9166666666666666,0.9303265951113601,0.7750989641854925,0.8723774457403117,0.8979591836734694,0.9561126232147217,0.9569068551063538,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0
cpp,102,0,0.0,0.625,0.14602124837100972,0.4235294117647059,0.45580900989289513,0.24920338526938302,0.388919039843026,0.30434782608695654,0.8249994516372681,0.8334208726882935,3.0,3.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,4.0
cpp,54,0,0.0,0.5714285714285714,0.11509950763164088,0.4335664335664336,0.27211021643773553,0.29274864849948556,0.23861841861749625,0.2735849056603774,0.8190493583679199,0.780532956123352,4.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0
cpp,32,0,0.0,0.0,0.1569870375830612,0.49350649350649356,0.3765591106290673,0.2881815001286524,0.40117427569163155,0.34375,0.8071803450584412,0.7845674157142639,2.0,3.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,2.0
cpp,75,0,0.0,0.7,0.22335571552391323,0.5362318840579711,0.49766998789938455,0.36176084936704556,0.5416815899371833,0.3866666666666667,0.8150392770767212,0.8058805465698242,2.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,2.0
cpp,14,0,1.0,1.0,0.462571974390199,0.66,0.5576170954669682,0.4447529464298441,0.6017094855904987,0.5849056603773585,0.8967626094818115,0.8945105075836182,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0
cpp,128,0,0.0,0.75,0.5276223742329528,0.6511627906976745,0.6226835832372165,0.5258936221489379,0.6527135919007195,0.4945054945054945,0.8864464163780212,0.8843220472335815,4.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0
cpp,53,0,1.0,1.0,1.0000000000000004,1.0,0.9976851851851852,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0
cpp,43,0,1.0,1.0,0.6655015655172783,0.7938931297709925,0.9008071677557025,0.7202903126051061,0.7802415054473761,0.6376811594202898,0.9339765906333923,0.9407791495323181,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0
cpp,63,0,1.0,1.0,0.030949824143135213,0.3181818181818182,0.27345345345345345,0.1508994390086816,0.28396025610018405,0.25,0.8116640448570251,0.8092143535614014,3.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0
cpp,99,0,0.0,0.6,0.028785885518932162,0.27499999999999997,0.35896057347670257,0.2568131712115754,0.5838095238095238,0.18644067796610164,0.7334490418434143,0.7687227129936218,3.0,4.0,0.0,0.0,0.5,0.5,0.0,0.0,3.0,4.0
cpp,49,0,0.0,0.14285714285714285,0.049714558330151565,0.42696629213483145,0.3444003113481834,0.1650424650722096,0.5485714285714286,0.3090909090909091,0.8153428435325623,0.8043031096458435,4.0,3.0,1.0,0.0,0.5,0.5,0.0,0.0,3.0,2.0
cpp,65,0,0.0,0.4,0.09154970906787825,0.2846975088967971,0.3318433598183882,0.3472413212861741,0.5920032456975531,0.18446601941747576,0.7114026546478271,0.7645800709724426,2.0,3.0,1.0,1.0,0.5,1.0,0.0,0.0,2.0,4.0
