TASK_ID,EXECUTION_BINARY
112,1.0
3,1.0
102,1.0
54,0.0
32,0.0
75,0.0
14,1.0
128,0.0
53,1.0
43,1.0
63,1.0
99,0.0
49,0.0
65,0.0
118,0.0
115,0.0
64,0.0
16,1.0
83,1.0
69,1.0
131,0.0
25,1.0
78,1.0
110,0.0
13,1.0
91,0.0
134,0.0
140,0.0
36,0.0
60,1.0
92,0.0
27,1.0
120,0.0
74,0.0
51,1.0
136,1.0
4,1.0
96,0.0
150,0.0
41,0.0
162,1.0
133,1.0
101,0.0
94,0.0
147,1.0
89,0.0
31,1.0
116,1.0
21,1.0
122,1.0
9,1.0
82,0.0
34,1.0
85,0.0
146,0.0
125,0.0
47,1.0
20,0.0
141,0.0
81,0.0
117,0.0
157,1.0
142,1.0
126,0.0
100,0.0
113,0.0
111,0.0
98,0.0
29,1.0
84,1.0
119,0.0
153,1.0
90,0.0
24,1.0
73,0.0
46,1.0
79,1.0
80,0.0
106,0.0
37,0.0
160,0.0
10,0.0
48,1.0
15,1.0
68,1.0
58,1.0
93,0.0
5,1.0
103,0.0
33,0.0
77,0.0
44,1.0
135,0.0
45,1.0
12,1.0
97,1.0
149,0.0
156,1.0
86,0.0
148,1.0
39,0.0
138,0.0
87,1.0
152,1.0
40,1.0
1,0.0
71,1.0
114,0.0
56,0.0
107,1.0
155,0.0
50,1.0
143,0.0
161,1.0
129,0.0
59,0.0
55,1.0
23,1.0
7,1.0
8,1.0
108,0.0
151,0.0
22,1.0
139,0.0
26,0.0
35,1.0
57,1.0
62,1.0
70,0.0
6,0.0
28,1.0
163,0.0
