LLM_MODEL,LANG,TASK_ID,SNIPPET_ID,SAMPLE_ID,EXECUTION_PLUS_BINARY,EXECUTION_PLUS_RATIO,BLEU,ROUGE-L,METEOR,chrF,CodeBLEU,RUBY,CBS_F1,CBS_F3,ICE-Score,ICE-Score w/o r,CJ-BIN,CJ-BIN w/o r,CJ-Score,CJ-Score w/o r,V-BIN,V-BIN w/o r,V-Score,V-Score w/o r
Qwen3-Next-80B,cpp,99,163,0,0.0,0.7521008403361344,0.027748680799915784,0.26666666666666666,0.2469135802469136,0.24079152944265253,0.5257142857142857,0.14814814814814814,0.7349218726158142,0.7754617929458618,3.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,2.0
Qwen3-Next-80B,cpp,99,163,1,0.0,0.7521008403361344,0.027748680799915784,0.26666666666666666,0.2469135802469136,0.24079152944265253,0.5257142857142857,0.14814814814814814,0.7349218726158142,0.7754617929458618,3.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,2.0
Qwen3-Next-80B,cpp,99,163,2,0.0,0.7521008403361344,0.027748680799915784,0.26666666666666666,0.2469135802469136,0.24079152944265253,0.5257142857142857,0.14814814814814814,0.7349218726158142,0.7754617929458618,3.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,2.0
Qwen3-Next-80B,cpp,99,28,0,0.0,0.5224089635854342,0.07261813302549418,0.37735849056603776,0.42845022624434387,0.32788279260512015,0.5066666666666666,0.21875,0.8104916214942932,0.8259992003440857,2.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,2.0
Qwen3-Next-80B,cpp,99,28,1,0.0,0.5224089635854342,0.07261813302549418,0.37735849056603776,0.42845022624434387,0.32788279260512015,0.5066666666666666,0.21875,0.8104916214942932,0.8259992003440857,2.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,2.0
Qwen3-Next-80B,cpp,99,28,2,0.0,0.5224089635854342,0.07261813302549418,0.37735849056603776,0.42845022624434387,0.32788279260512015,0.5066666666666666,0.21875,0.8104916214942932,0.8259992003440857,2.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,2.0
Qwen3-Next-80B,cpp,99,6,0,0.0,0.8207282913165266,0.03866777965921546,0.2926829268292683,0.28,0.2467262183716294,0.5514285714285714,0.19672131147540983,0.7305461168289185,0.7688403129577637,3.0,3.0,0.0,0.0,0.5,0.45,0.0,0.0,3.0,3.0
Qwen3-Next-80B,cpp,99,6,1,0.0,0.8207282913165266,0.03866777965921546,0.2926829268292683,0.28,0.2467262183716294,0.5514285714285714,0.19672131147540983,0.7305461168289185,0.7688403129577637,3.0,3.0,0.0,0.0,0.5,0.45,0.0,0.0,3.0,3.0
Qwen3-Next-80B,cpp,99,6,2,0.0,0.8207282913165266,0.03866777965921546,0.2926829268292683,0.28,0.2467262183716294,0.5514285714285714,0.19672131147540983,0.7305461168289185,0.7688403129577637,3.0,3.0,0.0,0.0,0.95,0.45,0.0,0.0,3.0,3.0
Qwen3-Next-80B,cpp,99,190,0,0.0,0.6834733893557423,0.03849398748735214,0.24390243902439024,0.3195041322314049,0.24617416857073762,0.5123809523809523,0.14754098360655743,0.7437580227851868,0.7590968608856201,3.0,3.0,0.0,0.0,0.5,0.5,0.0,0.0,3.0,2.0
Qwen3-Next-80B,cpp,99,190,1,0.0,0.6834733893557423,0.03849398748735214,0.24390243902439024,0.3195041322314049,0.24617416857073762,0.5123809523809523,0.14754098360655743,0.7437580227851868,0.7590968608856201,3.0,3.0,0.0,0.0,0.5,0.5,0.0,0.0,3.0,2.0
Qwen3-Next-80B,cpp,99,190,2,0.0,0.6834733893557423,0.03849398748735214,0.24390243902439024,0.3195041322314049,0.24617416857073762,0.5123809523809523,0.14754098360655743,0.7437580227851868,0.7590968608856201,3.0,3.0,0.0,0.0,0.5,0.5,0.0,0.0,2.0,2.0
Qwen3-Next-80B,cpp,99,70,0,0.0,0.2507002801120448,0.02589695065714183,0.18055555555555555,0.2690835949764521,0.2167137417910162,0.5961904761904762,0.10569105691056913,0.689389705657959,0.7338912487030029,2.0,2.0,0.0,0.0,0.45,0.45,0.0,0.0,2.0,0.0
Qwen3-Next-80B,cpp,99,70,1,0.0,0.2507002801120448,0.02589695065714183,0.18055555555555555,0.2690835949764521,0.2167137417910162,0.5961904761904762,0.10569105691056913,0.689389705657959,0.7338912487030029,2.0,2.0,0.0,0.0,0.5,0.45,0.0,0.0,2.0,0.0
Qwen3-Next-80B,cpp,99,70,2,0.0,0.2507002801120448,0.02589695065714183,0.18055555555555555,0.2690835949764521,0.2167137417910162,0.5961904761904762,0.10569105691056913,0.689389705657959,0.7338912487030029,2.0,2.0,0.0,0.0,0.5,0.45,0.0,0.0,2.0,0.0
Qwen3-Next-80B,cpp,99,62,0,0.0,0.02100840336134454,0.006311595561103515,0.09491525423728814,0.1511879049676026,0.116361461895203,0.6533333333333333,0.051094890510948954,0.5937895774841309,0.6563571095466614,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,99,62,1,0.0,0.02100840336134454,0.006311595561103515,0.09491525423728814,0.1511879049676026,0.116361461895203,0.6533333333333333,0.051094890510948954,0.5937895774841309,0.6563571095466614,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,0.0
Qwen3-Next-80B,cpp,99,62,2,0.0,0.02100840336134454,0.006311595561103515,0.09491525423728814,0.1511879049676026,0.116361461895203,0.6533333333333333,0.051094890510948954,0.5937895774841309,0.6563571095466614,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,0.0
