LLM_MODEL,LANG,TASK_ID,SNIPPET_ID,SAMPLE_ID,EXECUTION_PLUS_BINARY,EXECUTION_PLUS_RATIO,V-Score,V-Score w/o r
Qwen3-Next-80B,python,13,156,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,13,21,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,13,3,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,13,196,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,13,62,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,13,56,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,13,49,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,13,30,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,13,19,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,13,165,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,13,134,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,13,14,2,0.0,0.7850655903128153,,0.0
Qwen3-Next-80B,python,13,145,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,13,104,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,13,4,2,1.0,1.0,,4.0
Qwen3-Next-80B,python,13,47,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,13,51,2,0.0,0.5933400605449042,,0.0
Qwen3-Next-80B,python,13,124,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,13,148,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,13,137,2,0.0,0.0,,3.0
Qwen3-Next-80B,python,27,30,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,27,6,2,0.0,0.0020491803278688526,,4.0
Qwen3-Next-80B,python,27,85,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,27,76,2,0.0,0.0,,4.0
Qwen3-Next-80B,python,27,71,2,1.0,1.0,,4.0
Qwen3-Next-80B,python,27,34,2,1.0,1.0,,3.0
Qwen3-Next-80B,python,27,28,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,27,172,2,1.0,1.0,,4.0
Qwen3-Next-80B,python,27,25,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,27,131,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,27,11,2,0.0,0.0,,4.0
Qwen3-Next-80B,python,27,196,2,0.0,0.9262295081967213,,0.0
Qwen3-Next-80B,python,27,180,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,27,66,2,1.0,1.0,,4.0
Qwen3-Next-80B,python,27,72,2,1.0,1.0,,0.0
Qwen3-Next-80B,python,27,152,2,0.0,0.0,,2.0
Qwen3-Next-80B,python,27,182,2,0.0,0.0,,2.0
Qwen3-Next-80B,python,27,59,2,1.0,1.0,,3.0
Qwen3-Next-80B,python,27,109,2,1.0,1.0,,4.0
Qwen3-Next-80B,python,27,100,2,1.0,1.0,,3.0
Qwen3-Next-80B,python,76,197,2,0.0,0.0,,4.0
Qwen3-Next-80B,python,76,29,2,0.0,0.9779492833517089,,3.0
Qwen3-Next-80B,python,76,6,2,0.0,0.8390297684674752,,4.0
Qwen3-Next-80B,python,76,78,2,0.0,0.8787210584343991,,0.0
Qwen3-Next-80B,python,76,68,2,0.0,0.8302094818081588,,2.0
Qwen3-Next-80B,python,76,59,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,76,36,2,0.0,0.9029768467475193,,2.0
Qwen3-Next-80B,python,76,27,2,0.0,0.0,,4.0
Qwen3-Next-80B,python,76,168,2,0.0,0.7805953693495039,,4.0
Qwen3-Next-80B,python,76,23,2,0.0,0.9757442116868799,,4.0
Qwen3-Next-80B,python,76,185,2,0.0,0.0,,1.0
Qwen3-Next-80B,python,76,130,2,0.0,0.9338478500551268,,4.0
Qwen3-Next-80B,python,76,8,2,0.0,0.9228224917309813,,2.0
Qwen3-Next-80B,python,76,7,2,0.0,0.005512679162072767,,4.0
Qwen3-Next-80B,python,76,24,2,0.0,0.0,,4.0
Qwen3-Next-80B,python,76,57,2,0.0,0.0,,0.0
Qwen3-Next-80B,python,76,64,2,0.0,0.0,,3.0
